,wikidata_code,title,intro,gender,occupations
17,Q10477536,Maria Anderton,"<p class=""mw-empty-elt"">

</p>

<p><b>Maria Anderton</b> (born 14 January 1969) is a former association football player who represented New Zealand at international level.
</p><p>Anderton scored on her Football Ferns début after coming on as a substitute in a 7–0 win over Trinidad &amp; Tobago on 8 August 1993, and finished her international career with four caps and one goal to her credit. Her other international appearances were against Brazil, the USSR and Ghana.
</p><p>She began playing football as a 10-year-old primary school student in Gordonton, Waikato District, and then at Fairfield College, Hamilton, New Zealand. She represented Waikato at U13, U14, U17 and U19 level and played club football for Hamilton AFC, Waikato Unicol, Western City and Te Awamutu FC before joining Cambridge FC in 2002. She captained Cambridge's women's first team for 12 years before retiring from competitive football in  2014, having helped her team win the Waikato Cup in her final match.
</p><p>Cambridge FC honoured her long service and achievements by presenting Anderton with a Special Achievement Award in October 2014, noting that in more than 800 competitive games over 35 consecutive seasons she had never received a yellow card or red card.
</p><p>She was awarded the club's Women's Player of the Year Award for her final season.
</p><p>Anderton was awarded a Services to Sport Medal at the Waipa Networks District Sports Awards in November 2014 in recognition of her 35 consecutive seasons of competitive football.
</p>",female,['association football player']
18,Q10480632,Milly Durrant,"<p class=""mw-empty-elt"">
</p>

<p><b>Camilla ""Milly"" Durrant</b> (born 9 May 1985) is a former Welsh former international football midfielder. After attending the youth academy of Arsenal Ladies and a scholarship at Florida International University, Durrant played FA Women's Premier League football for Doncaster Rovers Belles, Birmingham City Ladies and Coventry City Ladies.
</p>",female,['association football player']
19,Q10482180,Nicole Emmanuel,No intro available,female,['association football player']
20,Q10483626,Isobel Richardson,"<p class=""mw-empty-elt"">

</p>

<p><b>Isobel Richardson</b> is a former association football player who represented New Zealand at international level.
</p><p>Richardson scored two goals on her Football Ferns début in a 3–2 win over Australia on 1 September 1975 at the inaugural AFC Women's Asian Cup. Her second and final appearance was a 3–1 win over Thailand two days later at the same tournament.
</p>",female,['association football player']
21,Q10484148,,No intro available,female,['association football player']
22,Q10487664,Lisa Stoia,"<p><b>Lisa Marie Stoia</b> (born August 28, 1982) is an American former professional soccer midfielder and coach who is currently the senior associate head coach for the West Virginia Mountaineers women's soccer team.
</p>",female,['association football player']
23,Q10488259,Ruth Blackburn,No intro available,female,['association football player']
24,Q10490055,Nancy Augustyniak Goffi,No intro available,female,['association football player']
25,Q10504612,Kellie-Ann Leyland,"<p class=""mw-empty-elt"">
</p>

<p><b>Kellie-Ann Leyland</b> (born 5 November 1986 in St Helens, Merseyside) is an English-born Northern Irish former footballer. She played for Curzon Ashton Ladies and Northern Ireland as a central defender.
</p>

",female,['association football player']
26,Q1051036,Catherine Russell (British actress),"<p class=""mw-empty-elt"">
</p>

<p><b>Catherine Russell</b> (born 17 April 1965) is a British stage, television and screen actress.
</p>",female,"['actor', 'film actor']"
27,Q10513399,Michele O'Brien,"<p class=""mw-empty-elt"">
</p>

<p><b>Michele O'Brien</b> (born 28 June 1980) is a soccer coach and former striker, who played for the W-League club Chicago Red Eleven. Since making her debut for the Republic of Ireland women's national football team in 2003, she gained over 50 caps.
</p>",female,['association football player']
28,Q10513801,Aman Dosanj,"<p class=""mw-empty-elt"">
</p>

<p><b>Amanprit ""Aman"" Kaur Dosanj</b> is an English former footballer who played as a goalkeeper. She is the first British South Asian footballer to represent England at any level.
</p><p>Dosanj went on to be employed by the Football Association as an ambassador. She also worked with the 'Football For All' and 'Kick It Out' campaigns.
</p>",female,['association football player']
29,Q10513945,Tracey Leone,No intro available,female,"['association football player', 'association football manager']"
