,occupations
176,pulitore
177,ecclesiastico
178,ecclesiastica
179,impiegato
180,clipper
181,orologiaio
182,più vicino
183,pagliaccio
184,allenatore
185,verniciatore
186,ciabattino
187,avvolgitore
188,collettore
189,collettore
190,colleter
191,colorante
192,colorista
193,editorialista/commentatore
194,comico
195,comica
196,comandante
197,commissario
198,compagno
199,compensatore
200,compilatore
201,compositore
202,compositore
203,compounder
204,compressore
205,conciliatore
206,conduttore
207,conservatore
208,consulente
209,appaltatore
210,controllore
211,cuoco
212,fornello
213,cottura
214,cooperare
215,coordinatore
216,coper
217,ramaio
218,copista
219,coremaker
220,medico legale
221,cosmetologo
222,cliente
223,consulente
224,contatore
225,contromano
226,copritore
227,cowpuncher
228,crabber
229,cratere
230,crespatore
231,creeler
232,crematore
233,uomo d'equipaggio
234,crewwoman
235,penalista
236,crimpatrice
237,critico
238,uncinetto
239,taglierina
240,incrociatore
241,frantoio
242,stampella
243,crittoanalista
244,cristallografo
245,abbattitore
246,curatore
247,curatore
248,custode
249,taglierina
250,citologo
251,citotecnologo
252,ballerina
253,figlia
254,deblocker
255,debitore
256,debrander
257,debubblizer
258,sbavatore
259,marinaio
260,decontaminatore
261,decoratore
262,definitore
263,delineatore
264,consegnatore
265,dimostratore
266,dentista
267,deodorante
268,deputato
269,dermatologo
270,designer
271,distaccatore
272,dettagliante
273,detective
274,sviluppatore
275,combinatore telefonico
276,dietista
277,scavatore
278,tuffatore
279,direttore
280,disassemblatore
281,spedizioniere
282,espositore
283,angosciatore
284,subacqueo
285,medico
286,doffer
287,domatore
288,portiere
289,doppio
290,disegnatore
291,drappello
292,cassettiera
293,sarta
294,più secco
295,vagabondo
296,trivellatore
297,autista
298,contagocce
299,batterista
300,duchessa
301,dulser
302,dumper
303,spolverino
304,tintore
305,economista
306,spigolatore
307,editore
308,elettricista
309,elettroformatore
310,elettrologo
311,elettrotimbro
312,imbalsamatore
313,goffratore
314,ricamatrice
315,smaltatore
316,incapsulatore
317,endodontista
318,ingegnere
319,incisore
320,coinvolgitore
321,entomologo
322,equestre
323,scorta
324,stimatore
325,incisore
326,etnologo
327,valutatore
328,esaminatore
329,escavatore
330,esercitatore
331,spedizioniere
332,disinfestatore
333,extra
334,fabbricante
335,sfaccettatura
336,fattore
337,agricoltore
338,lavoratore agricolo
339,fissaggio
340,alimentatore
341,fermentatore
342,fettina
343,filer
344,riempimento
345,più fine
346,finitore
347,pompiere
348,pompiere
349,sparafiamme
350,incendiario
351,pescatore
352,montatore
353,riparatore
354,segnalatore
355,flamer
356,flanger
357,carnoso
358,floccatore
359,pavimentatore
360,flumer
361,sciacquone
362,volantino
363,focalizzatore
364,cartella
365,calciatore
366,forestale
367,precedente
368,spedizioniere
369,corniciaio
370,frazer
371,frangetta
372,più pieno
373,fumigatore
374,pellicciaio
375,gambreler
376,guardiacaccia
377,giardiniere
378,guarnizione
379,pignoratore
380,gasser
381,raccoglitore
382,calibro
383,gemmologo
384,genealogista
385,genetista
386,geodeta
387,geografo
388,geologo
389,geofisico
390,getterer
391,doratore
392,sgranatore
393,girdler
394,ragazza
395,vetraio
396,incollatore
397,battitore d'oro
398,selezionatore
399,granitore
400,grafologo
401,ingrassatore
402,smerigliatrice
403,impugnatura
404,scanalatore
405,giardiniere
406,guardia
407,guida
408,guider
409,artigliere
410,armaiolo
411,ginecologo
412,hacker
413,chiocciolaio
414,martello
415,handicapper
416,gestore
417,indurente
418,cappellaio
419,intestazione
420,preside
421,direttrice
422,direttore didattico
423,cameriere
424,cameriere/capo cameriera
425,cameriera
426,riscaldatore
427,aiutante
428,orlatore
429,istopatologo
430,storico
431,istotecnologo
432,casalinga
433,cavallerizzo
434,orticoltore
435,ospite
436,host/hostess
437,hostess
438,hostler
439,addetto alle pulizie
440,governante
441,umorista
442,idrografo
443,idrologo
444,ipnoterapeuta
445,icer
446,identificatore
447,illustratore
448,immunoematologo
449,imitatore
450,impregnatore
451,inchiostratore
452,inlayer
453,inlettera
454,ispettore
455,installatore
456,istruttore
457,interlacciatore
458,internista
459,interprete
460,investigatore
461,stiratrice
462,irrigatore
463,carceriere
464,custode
465,gioielliere
466,giga
467,seghettatore
468,fantino
469,jogger
470,falegname
471,giudice
472,giocoliere
473,magliaio
474,operaio
475,laceratore
476,laccatore
477,signora
478,lamber
479,laminatore
480,padrona di casa
481,padrone di casa
482,lappatore
483,laserista
484,laster
485,lattoniere
486,schiuma
487,riciclatore
488,avvocato
489,strato
490,predicatore
491,letterato
492,bibliotecario
493,librettista
494,bagnino
495,fodera
496,linker
497,caricatore
498,lobbista
499,fabbro
500,logger
501,looper
502,paroliere
503,macchinista
504,mago
505,magistrato
506,mailer
507,postino
508,postina
509,manager
510,direttrice
511,mangano
512,manicure
513,manipolatore
514,manugrapher
515,marcatore
516,maresciallo
517,schiacciatore
518,mascheratore
519,massaggiatore/massaggiatrice
520,maestro
521,matcher
522,compagno
523,matematico
524,misuratore
525,meccanico
526,fonditore
527,mender
528,messaggero
529,metallografo
530,metallurgista
531,meteorologo
532,metrologo
533,microbiologo
534,microscopista
535,mungitore
536,mugnaio
537,modista
538,fresatore
539,mimo
540,minatore
541,mineralogista
542,ministro/pastore
543,miscelatore
544,modello
545,modellatore
546,mohel
547,stampatore
548,mosaicista
549,madre
550,montatore
551,musicista
552,micologo
553,chiodatrice
554,narratore
555,navigatore
556,necker
557,agitatore
558,nematologo
559,neurologo
560,neutralizzatore
561,giornalista
562,giornalista
563,nicker
564,nodulizzatore
565,lettore di note
566,infermiera
567,osservatore
568,ostetrica
569,oceanografo
570,portatore esterno
571,oliatore
572,opaco
573,apripista
574,operatore
575,oftalmologo
576,ottico
577,optometrista
578,orchestratore
579,ordinato
580,ortodontista
581,ortottista
582,ortotista
583,otorinolaringoiatra
584,fornitore di equipaggiamento
585,sopraelevatore
586,revisionatore
587,ossidante
588,imballatore
589,imballatore
590,tamponatore
591,pagina
592,cercapersone
593,pittore
594,accoppiatore
595,paleontologo
596,portatore di pallone
597,pallettizzatore
598,pantografo
599,appendiabiti
600,paralegale
601,paramedico
602,parassitologo
603,gassificatore
604,pastorizzatore
605,patcher
606,patologo
607,pattugliatore
608,modellista
609,banco dei pegni
610,perla
611,ambulante
612,pediatra
613,chiodatore
614,pelter
615,perforatore
616,profumiere
617,perfusionista
618,parodontologo
619,petrologo
620,peltraio
621,farmacista
622,farmacologo
623,filologo
624,flebotomista
625,fotoincisore
626,fotogrammetrista
627,fotografo
628,fotoreporter
629,fisiatra
630,medico
631,fisico
632,fisiologo
633,raccoglitore
634,sottaceto
635,pilota
636,appuntatore
637,pipeliner
638,placer
639,pialla
640,planisher
641,pianificatore
642,intonacatore
643,plastificatore
644,stuccatore
645,drammaturgo
646,pieghettatrice
647,plugger
648,idraulico
649,podologo
650,poeta
651,poliziotto
652,poliziotta
653,lucidatrice
654,facchino
655,postmaster
656,martellatore
657,versatore
658,polverizzatore
659,preassemblatore
660,preallestitore
661,preparatore
662,prepleater
663,presidente
664,pressore
665,prezzo
666,principessa
667,principale
668,stampante
669,stampatore
670,prizer
671,processore
672,proctologo
673,produttore
674,professore
675,profilatore
676,programmatore
677,suggeritore
678,correttore di bozze
679,correttore di bozze
680,cercatore d'oro
681,protesista
682,protesista
683,psichiatra
684,psicologo
685,psicometrista
686,estrattore
687,pulper
688,polverizzatore
689,pompista
690,punzonatore
691,burattinaio
692,borsaiolo
693,quartiermastro
694,regina
695,cremagliera
696,radiografo
697,radiologo
698,radiofarmacista
699,trave
700,raker
701,rasper
702,valutatore
703,raveler
704,lettore
705,alesatore
706,rebrander
707,ricevitore
708,receptionist
709,registratore
710,registratore
711,reclutatore
712,rielaboratore
713,raffinatore
714,conservatore
715,reintegratore
716,rifusore
717,riparatore
718,giornalista
719,pignoratore
720,rappresentante
721,restauratore
722,ritoccatore
723,invertitore
724,recensore
725,rielaboratore
726,rigger
727,squartatore
728,fiume
729,rivettatrice
730,tostatore
731,rullo
732,conciatetti
733,più ruvido
734,rotondo
735,roustabout
736,router
737,gomma
738,marinaio
739,venditore
740,venditore
741,commessa
742,salvatore
743,campionatore
744,sabbiatrice
745,levigatrice
746,sanitario
747,segantino
748,scanner
749,programmatore
750,marcatore
751,scout
752,raschietto
753,rottamatore
754,avvitatore
755,scullion
756,scultore
757,sigillante
758,sarta
759,secondo
760,segretario
761,sismologo
762,selettore
763,server
765,fogna
766,cucitrice
767,sacrestano
768,incatenatore
769,scuotitore
770,modellatore
771,rasoio
772,sgusciatore
773,sceriffo
774,addetto all'allestimento navale
775,carpentiere navale
776,calzolaio
777,tiratore
778,più scura
779,shuttler
780,sider
781,siderografo
782,setaccio
783,segnalatore
784,argentatore
785,selvicoltore
786,cantante
787,dimensionatore
788,skeiner
789,schiumatoio
790,scuoiatore
791,skiver
792,slabbratore
793,slasher
794,macellatore
795,rondella
796,più furbo
797,fromboliere
798,taglierina
799,fumatore
800,più fluido
801,chiocciola
802,fabbricante di neve
803,inzuppatore
804,sociologo
805,solderer
806,smistatore
807,scandaglio
808,Chiave
809,spettroscopista
810,filatrice
811,giuntatrice
812,splitter
813,spooler
814,spotter
815,spruzzatore
816,spargitore
817,spronatore
818,squittio
819,impilatore
820,stager
821,morditore
822,staker
823,timbratore
824,cucitrice
825,amante
826,amidificatore
827,antipasto
828,statistico
829,vaporizzatore
830,stemmer
831,stenciler
832,stenografo
833,stenografa
834,stereotipatore
835,sterilizzatore
836,amministratore
837,steward/stewardess
838,hostess
839,adesivo
840,irrigiditore
841,cucitrice
842,stoccatore
843,scalpellino
844,scalpellino
845,stoner
846,magazziniere
847,raddrizzatore
848,stratigrafo
849,barella
850,stringer
851,spogliarellista
852,spogliarellista
853,stubber
854,stallone
855,riempitivo
856,storditore
857,stuntman
858,stuntperson
859,stuntwoman
860,subassemblatore
861,sublimatore
862,supercargo
863,sovrintendente
864,supervisore
865,chirurgo
866,geometra
867,svedese
868,tabber
869,tailer
870,tallier
871,cisterna
872,conciatore
873,conicità
874,tapper
875,bersagliere
876,assaggiatore
877,tassidermista
878,insegnante
879,teamster
880,tecnico
881,telecomunicatore
882,telegrafista
883,cassiere
884,temperatore
885,tester
886,più sottile
887,filettatrice
888,trebbiatrice
889,lanciatore
890,bigliettaio
891,livello
892,cronometrista
893,conciatore
894,ribaltabile
895,topper
896,cucitrice
897,tossicologo
898,tracciante
899,trasferitore
900,traduttore
901,trapiantatore
902,trasportatore
903,trapper
904,tesoriere
905,trattatore
906,trimmer
907,più vero
908,tubero
909,rimboccatore
910,tufter
911,bicchiere
912,sintonizzatore
913,tornitore
914,tutor
915,twister
916,dattilografa
917,arbitro
918,sottosmalto
919,sottoscrittore
920,decodificatore
921,tappezziere
922,sconvolgente
923,urologo
924,usciere
925,verniciatore
926,venditore
927,ventilatore
928,ventriloquo
929,veterinario
930,vulcanizzatore
931,cameriere
932,cameriere/cameriera
933,cameriera
934,guerrafondaio
935,rondella
936,osservatore
937,cera
938,meteorologa
939,meteorologo
940,tessitore
941,cuneo
942,pesatrice
943,saldatore
944,molo
945,carrellista
946,frullatore
947,vimini
948,moglie
949,avvolgitore
950,winterizer
951,tergicristallo
952,cavo
953,lavoratore a filo
954,donna
955,involucro
956,scrittore
957,zoologo
958,saggista
959,sindaco
960,cestista
961,politica
962,scrittrice
963,scrittore
964,pianista
965,nuotatore
966,calciatrice
967,ministro
968,dottoressa
969,carabiniere
970,senatore
971,assessore
