,title,intro,gender,occupations
Q3455508,,No intro available,female,[]
Q273705,Jutta of Kulmsee,"<p><b>Jutta of Kulmsee</b> (also called <i>Judith</i> and <i>Otta</i>.<abbr title=""circa"">c.</abbr><span> 1200-May 5, 1264</span>), was a German member of the Third Order of Saint Francis.
</p>",female,['nun']
Q42566992,Guirandana de Lay,"<p><b>Guirandana de Lay</b> (died 1461), was a Spanish healer. She was accused of leading a coven of witches near Villanúa, Spain. De Lay considered herself a healer but was accused of poisoning children and spouses, among other evils, and sentenced to burn at the stake by a seven-man court in Jaca, Spain.
</p>",female,['curandero']
Q7493063,Sheila Harsdorf,"<p><b>Sheila E. Harsdorf</b> (born July 25, 1956) is an American dairy farmer and Republican politician from Pierce County, Wisconsin.  She served as the 11th secretary of the Wisconsin Department of Agriculture, Trade and Consumer Protection, during the administration of Governor Scott Walker.  She previously served ten years in the Wisconsin State Assembly and 17 years in the State Senate.  Her brother, James Harsdorf, also served in the state Legislature, and was also secretary of the Wisconsin Department of Agriculture, Trade and Consumer Protection.
</p>

",female,['politician']
Q440493,Paola Antonelli,"<p><b>Paola Antonelli</b> (born 1963) is an Italian architect, curator, author, editor, and educator. Antonelli is the Senior Curator of Architecture and Design at the Museum of Modern Art (MoMA), New York, where she also serves as the founding Director of Research and Development. She has been described as ""one of the 25 most incisive design visionaries in the world"" by <i>TIME</i> magazine.
</p>",female,"['architect', 'art historian', 'curator', 'university teacher', 'writer']"
Q391281,Agathe Habyarimana,"<p><b>Agathe Kanziga Habyarimana</b>, <i>née</i> <b>Kanziga</b> (born 21 January 1942 in Karago, Gisenyi prefecture, Western Province, Rwanda) is the widow of former President of Rwanda Juvénal Habyarimana and former First Lady of Rwanda from 1973 until 1994. Kanziga is part of both Tutsi and Hutu lineage that long ruled an independent principality until the late nineteenth century. She was arrested by French authorities on 2 March 2010 in France following the visit of French President Nicolas Sarkozy to Rwanda.
</p><p>She was frequently regarded as one of the powers behind the throne during her husband's 20-year presidency, and her family connections to powerful Hutu politicians are often regarded as having provided necessary political capital for Habyarimana.  She was the centre of a powerful clique of northern Hutus called <i>akazu</i> (Kinyarwanda for ""little house""), an informal organization of Hutu extremists whose members contributed strongly to the 1994 Rwandan genocide.
</p><p>On 9 April 1994, immediately following Habyarimana's assassination and the beginning of the Rwandan genocide, she was airlifted out of Rwanda by French troops and arrived in Paris 8 days later. In this exodus she was accompanied by thirty other members of the <i>akazu</i>, including Ferdinand Nahimana, director of Radio Télévision Libre des Mille Collines. Upon arrival in Paris, she received a gift of F 230,000 from the French government, from a budget allocated for ""urgent assistance for Rwandan refugees"". In September 1997, she moved to Libreville, Gabon, at the invitation of Omar Bongo, and then Gbadolite in Zaire. Fearing the threat of the RPF, she went back to Zaire in late 1995 and later settled in Gabon, where she was granted a diplomatic passport under a false name. In response to threats by the RPF, she left Libreville and was smuggled into France where she resides illegally.
</p><p>Agathe Habyarimana is the sister of Protais Zigiranyirazo. She was denied political asylum in France on 4 January 2007 where she fled in January 2004, but remained in France. She was arrested on Tuesday, 2 March 2010, following French President Nicolas Sarkozy's visit to Rwanda where he admitted to mistakes made by France over the genocide, further stating that France would seek out those responsible for the genocide who were living in France.
</p><p>In September 2011, a French court denied Rwanda extradition of Habyarimana. A civil suit, perhaps thus weakened, remains.
</p><p>In August 2021, the Paris Court of Appeal ruled ""inadmissible"" the request for dismissal of Agathe Habyarimana, suspected of being involved in the genocide committed against the Tutsi in Rwanda in 1994 and targeted by an investigation in France since 2008.
</p>
",female,['politician']
Q3291703,Marie-Claude Bomsel,"<p><b>Marie-Claude Dominique Bomsel</b> (born 1946) is a French veterinary doctor and professor at the National Museum of Natural History. Outside of her work as a researcher and teacher, she is a wildlife commentator in the programme <i>C'est au programme</i> on France 2. She regularly appears in programmes where various journalists ask her questions about subjects on which she is considered to be an expert. Marie-Claude Dominique Bomsel is the president of the Jane Goodall Institute, France.
</p>

",female,"['veterinarian', 'zoologist', 'naturalist', 'professeur des universités', 'research fellow']"
Q16750741,Harriet Isabel Ballintine,"<p class=""mw-empty-elt"">
</p>

<p><b>Harriet Isabel Ballintine</b> (December 23, 1864 – February 9, 1951) was the athletic director at Vassar College from 1891 to 1930 and was a leader in the development of physical education for women.
</p>",female,['teacher']
Q16943607,Sílvia Soler,,female,"['writer', 'journalist']"
Q24851656,Delphine Lannuzel,"<p class=""mw-empty-elt"">
</p>

<p><b>Delphine Lannuzel</b> is an Australian sea ice biogeochemist. She is a professor at the Institute for Marine and Antarctic Studies (IMAS), University of Tasmania.
</p>

",female,['biochemist']
Q23664747,,No intro available,Unknown,[]
Q18359294,Jennifer Yee,"<p><b>Jennifer Yee</b> is an American chef, specializing in pastry. Born and raised in San Francisco, she worked in several pastry kitchens in some of New York's finest restaurants, including Lafayette in the NoHo neighborhood of Manhattan as Patissière, and The Grill in midtown Manhattan's Seagram Building, as the opening Pastry Chef, before becoming the Executive Pastry Chef for Chef Linton Hopkins' restaurants in Atlanta.  Her work has been recognized by the James Beard Foundation in both New York and Atlanta.
</p><p>She is currently the Executive Pastry Chef for Wynn Las Vegas.
</p>

",female,['chef']
Q24084254,Katie Morrow,"<p class=""mw-empty-elt"">

</p>

<p><b>Katie Morrow</b> (born 20 September 1999) is a 4.5 point British wheelchair basketball player who was the youngest player selected for Team GB wheelchair basketball team at the 2016 Summer Paralympics in Rio de Janeiro.
</p>",female,['basketball player']
Q47452438,Mary Jones (rower),"<p class=""mw-empty-elt"">
</p>

<p><b>Mary Jones</b> (born August 25, 1986) is an American rower. She competed in the women's lightweight single sculls events at the 2015 Pan American Games and the 2016 and 2017 World Rowing Championships, and the women's lightweight double sculls at the 2018 World Rowing Championships.
</p>",female,['rower']
Q16185420,Jennifer Kilian,"<p><b>Jennifer Mary Kilian</b> (born September 19, 1953, New York City, New York, United States) is an American-Dutch translator. She started translating in 1988, when she co-founded Kist &amp; Kilian with her associate Katy Kist. She studied art history at Barnard College and at the Institute of Fine Arts, NYU, NY, earning her Ph.D. in 1993 for her catalogue raisonne of the paintings of the Dutch Golden Age artist Karel du Jardin. Her book on the artist was published in 2005,  and her catalogue of the Du Jardin exhibition in the Rijksmuseum came out in 2007/2008. Both were reviewed in <i>The Burlington Magazine</i>. As a translator, she has worked for the Mauritshuis, the Van Gogh Museum, and the Rijksmuseum, translating books, catalogues, wall texts, brochures, etc., on history and art history.
</p>",female,['translator']
