,title,intro,gender,occupations
Q24228908,Julie Gervais,"<p><b>Julie Gervais</b> (* 22. Juli 1991) ist eine französische Tennisspielerin.
</p>",Unknown,['Unknown']
Q18962412,Jutta Barth,"<p><b>Jutta Barth</b> (* 22. April 1949 in Stuttgart) ist eine in Berlin lebende bildende Künstlerin.
</p>",Unknown,"['Unknown', 'Unknown']"
Q1483550,Katarína Dugovičová,"<span></span><span></span><span></span><span></span><span></span><span></span><span></span><span></span><span></span>
<p><b>Katarína Dugovičová</b> (* 3. Februar 1977 in Bratislava) ist eine slowakische Fußballspielerin.
</p>",Unknown,['Unknown']
Q15256005,Monika Hertwig,No intro available,Unknown,['Unknown']
Q1449580,Mieze Medusa,"<p><b>Mieze Medusa</b> (eigentlich <i>Doris Mitterbacher</i>; * 1975 in Schwetzingen, Deutschland) ist eine österreichische Autorin, Slammerin, Rapperin und Herausgeberin.
</p>",Unknown,"['Unknown', 'Unknown']"
Q18616342,Annette Guckelberger,"<p><b>Annette Guckelberger</b> (* 1968) ist eine deutsche Rechtswissenschaftlerin und Lehrstuhlinhaberin an der Universität des Saarlandes.
</p><p>Guckelberger studierte Rechtswissenschaften an der Universität Tübingen und der Schweizer Universität Fribourg. 1994 legte sie ihr erstes Staatsexamen ab. 1996 wurde sie an der Universität Tübingen mit einer Arbeit zum Thema <i>Vorwirkung von Gesetzen im Tätigkeitsbereich der Verwaltung – Eine rechtsvergleichende Studie des deutschen und schweizerischen Rechts</i> promoviert. Nach Bestehen des zweiten Staatsexamens 1997 war sie zunächst als wissenschaftliche Mitarbeiterin an der Deutschen Hochschule für Verwaltungswissenschaften Speyer tätig, wo sie sich 2003 zum Thema <i>Die Verjährung im Öffentlichen Recht</i> habilitierte. Nach einer Lehrstuhlvertretung an der Universität des Saarlandes 2006 wurde sie dort noch im selben Jahr ordentliche Professorin. Sie ist Inhaberin des Lehrstuhls für Öffentliches Recht.
</p>",Unknown,"['Unknown', 'Unknown']"
Q15849640,Sunita Chaudhary,No intro available,Unknown,[]
Q42365815,Barbara König (Informatikerin),"<p><b>Barbara König</b> ist eine deutsche Informatikerin. Sie leitet den Lehrstuhl für Theoretische Informatik an der Fakultät für Ingenieurwissenschaften der Universität Duisburg-Essen.
</p>",Unknown,"['Unknown', 'Unknown']"
Q1714595,Jutta Ecarius,"<p><b>Jutta Ecarius</b> (* 22. Januar 1959 in Kirchheimbolanden, Rheinland-Pfalz) ist Professorin für Erziehungswissenschaft der Fachgruppe <i>Erziehungs- und Sozialwissenschaften</i> an der Universität zu Köln.
</p><p>Nach ihrem Abitur studierte Ecarius von 1980 bis 1985 die Fächer Pädagogik auf Diplom sowie Germanistik und Politologie für Lehramt an der Philipps-Universität Marburg.
</p><p>Nach mehrjähriger Tätigkeit als wissenschaftliche Assistentin an diversen Einrichtungen promovierte sie 1994 an der Martin-Luther-Universität Halle-Wittenberg zum Thema „<i>Individualisierung und Pluralisierung im Lebensverlauf</i>“ mit der Note „magna cum laude.“ Nach der Promotion arbeitete Ecarius als Wissenschaftliche Assistentin am Institut für Pädagogik an der Universität Halle.
</p><p>Im Jahr 2000 folgte die Habilitation in <i>„Erziehungswissenschaft mit dem Schwerpunkt Allgemeine Pädagogik“</i> mit einer Arbeit zum Thema <i>„Familienerziehung im historischen Wandel“</i>. Im Anschluss wechselte sie als Akademische Rätin für Allgemeine Pädagogik an das Seminar für Pädagogik der Universität Koblenz-Landau.
</p><p>Zum 1. Oktober 2004 erfolgte der Wechsel als Professorin für Erziehungswissenschaft an das Institut für Erziehungswissenschaft der Justus-Liebig-Universität Gießen. Ihr dortiger Schwerpunkt war die Pädagogik des Jugendalters. Ab 2005 wurde sie zudem zur geschäftsführenden Direktorin des Instituts für Erziehungswissenschaft ernannt, welche sie bis 2007 innehatte.
</p><p>Am 1. April 2011 übernahm Jutta Ecarius die Leitung der Professur für Kindheitsforschung an der humanwissenschaftlichen Fakultät an der Universität Köln.
</p>",Unknown,['Unknown']
Q807693,Barbara Winter,"<p><b>Barbara Winter</b> (* 1944) ist eine ehemalige Rennrodlerin der DDR. Sie startete für die <i>BSG Wismut Karl-Marx-Stadt</i>. Ihre größten Erfolge waren der 4. Platz bei den Weltmeisterschaften 1965 in Davos hinter ihren Teamkolleginnen Ortrun Enderlein, Petra Tierlich und Ilse Geisler und der Vize-Titel bei der nationalen Meisterschaft der DDR 1964 in Friedrichroda hinter Olympiasiegerin Ortrun Enderlein und der Olympiazweiten Ilse Geisler. Sie trat 1966 vom Leistungssport zurück.
</p>",Unknown,[]
Q47456731,Renate Schwindler,No intro available,Unknown,[]
Q1673531,Isabel Bogdan,"<p><b>Isabel Bogdan</b> (* 5. Juli 1968 in Köln) ist eine deutsche Literaturübersetzerin, Schriftstellerin und Bloggerin.
</p>",Unknown,"['Unknown', 'Unknown', 'Unknown']"
Q1905476,Martina Ludwig-Faymann,"<p><b>Martina Ludwig-Faymann</b> (* 26. März 1967 in Wien) ist eine österreichische Politikerin (SPÖ). Sie ist seit Jänner 1996 Abgeordnete zum Wiener Landtag und damit Mitglied des Wiener Gemeinderats.
</p>",Unknown,['Unknown']
